accession	tax_id	organism	superkingdom	phylum	class	order	family	genus	species
A0A1G4R3G0	624147	Paenibacillus tianmuensis		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus tianmuensis
A0A1G4S8P8	624147	Paenibacillus tianmuensis		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus tianmuensis
A0A1G4SM90	624147	Paenibacillus tianmuensis		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus tianmuensis
A0A1G5HNA0	1120976	Alkaliphilus peptidifermentans DSM 18978		Bacillota	Clostridia	Peptostreptococcales	Natronincolaceae	Alkaliphilus	Alkaliphilus peptidifermentans
A0A1G5IBG3	1120976	Alkaliphilus peptidifermentans DSM 18978		Bacillota	Clostridia	Peptostreptococcales	Natronincolaceae	Alkaliphilus	Alkaliphilus peptidifermentans
A0A1G5J0L2	1120976	Alkaliphilus peptidifermentans DSM 18978		Bacillota	Clostridia	Peptostreptococcales	Natronincolaceae	Alkaliphilus	Alkaliphilus peptidifermentans
A0A1G5JDW0	1120976	Alkaliphilus peptidifermentans DSM 18978		Bacillota	Clostridia	Peptostreptococcales	Natronincolaceae	Alkaliphilus	Alkaliphilus peptidifermentans
A0A1G5JQJ4	582692	Paenibacillus polysaccharolyticus		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus polysaccharolyticus
A0A1G6GRD9	1612202	Pelagirhabdus alkalitolerans		Bacillota	Bacilli	Bacillales	Bacillaceae	Pelagirhabdus	Pelagirhabdus alkalitolerans
A0A1G6HKU4	1464122	Shouchella lonarensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Shouchella	Shouchella lonarensis
A0A1G6JD75	361279	Terribacillus halophilus		Bacillota	Bacilli	Bacillales	Bacillaceae	Terribacillus	Terribacillus halophilus
A0A1G6JGK0	361279	Terribacillus halophilus		Bacillota	Bacilli	Bacillales	Bacillaceae	Terribacillus	Terribacillus halophilus
A0A1G6JK27	361279	Terribacillus halophilus		Bacillota	Bacilli	Bacillales	Bacillaceae	Terribacillus	Terribacillus halophilus
A0A1G6KU20	1236220	Melghirimyces thermohalophilus		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Melghirimyces	Melghirimyces thermohalophilus
A0A1G6L4M6	1236220	Melghirimyces thermohalophilus		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Melghirimyces	Melghirimyces thermohalophilus
A0A1G6LWS8	1236220	Melghirimyces thermohalophilus		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Melghirimyces	Melghirimyces thermohalophilus
A0A1G6QGS7	361279	Terribacillus halophilus		Bacillota	Bacilli	Bacillales	Bacillaceae	Terribacillus	Terribacillus halophilus
A0A1G6RD60	361279	Terribacillus halophilus		Bacillota	Bacilli	Bacillales	Bacillaceae	Terribacillus	Terribacillus halophilus
A0A1G6REL1	361279	Terribacillus halophilus		Bacillota	Bacilli	Bacillales	Bacillaceae	Terribacillus	Terribacillus halophilus
A0A1G6XLB5	426756	Bhargavaea beijingensis		Bacillota	Bacilli	Bacillales	Caryophanaceae	Bhargavaea	Bhargavaea beijingensis
A0A1G7E166	426756	Bhargavaea beijingensis		Bacillota	Bacilli	Bacillales	Caryophanaceae	Bhargavaea	Bhargavaea beijingensis
A0A1G7KHM6	1123285	Sporolituus thermophilus DSM 23256		Bacillota	Negativicutes	Selenomonadales	Sporomusaceae	Sporolituus	Sporolituus thermophilus
A0A1G7L773	670482	Fontibacillus panacisegetis		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Fontibacillus	Fontibacillus panacisegetis
A0A1G7M6E8	1123285	Sporolituus thermophilus DSM 23256		Bacillota	Negativicutes	Selenomonadales	Sporomusaceae	Sporolituus	Sporolituus thermophilus
A0A1G7MWF9	1123285	Sporolituus thermophilus DSM 23256		Bacillota	Negativicutes	Selenomonadales	Sporomusaceae	Sporolituus	Sporolituus thermophilus
A0A1G7UDP4	1516	Thermoanaerobacter thermohydrosulfuricus		Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacter	Thermoanaerobacter thermohydrosulfuricus
A0A1G7YMB6	143495	Aneurinibacillus thermoaerophilus		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus thermoaerophilus
A0A1G8A4X5	1121419	Desulfosporosinus hippei DSM 8344		Bacillota	Clostridia	Eubacteriales	Desulfitobacteriaceae	Desulfosporosinus	Desulfosporosinus hippei
A0A1G8AW62	143495	Aneurinibacillus thermoaerophilus		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus thermoaerophilus
A0A1G8BL25	1121419	Desulfosporosinus hippei DSM 8344		Bacillota	Clostridia	Eubacteriales	Desulfitobacteriaceae	Desulfosporosinus	Desulfosporosinus hippei
A0A1G8BZ65	568899	Alteribacillus persepolensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Alteribacillus	Alteribacillus persepolensis
A0A1G8CLK2	143495	Aneurinibacillus thermoaerophilus		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus thermoaerophilus
A0A1G8CU38	930129	Alteribacillus bidgolensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Alteribacillus	Alteribacillus bidgolensis
A0A1G8CUF5	930129	Alteribacillus bidgolensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Alteribacillus	Alteribacillus bidgolensis
A0A1G8DUD8	568899	Alteribacillus persepolensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Alteribacillus	Alteribacillus persepolensis
A0A1G8EF11	568899	Alteribacillus persepolensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Alteribacillus	Alteribacillus persepolensis
A0A1G8EF56	568899	Alteribacillus persepolensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Alteribacillus	Alteribacillus persepolensis
A0A1G8EFP5	930129	Alteribacillus bidgolensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Alteribacillus	Alteribacillus bidgolensis
A0A1G8IF18	1121419	Desulfosporosinus hippei DSM 8344		Bacillota	Clostridia	Eubacteriales	Desulfitobacteriaceae	Desulfosporosinus	Desulfosporosinus hippei
A0A1G8IFK4	1121419	Desulfosporosinus hippei DSM 8344		Bacillota	Clostridia	Eubacteriales	Desulfitobacteriaceae	Desulfosporosinus	Desulfosporosinus hippei
A0A1G8IN01	1121419	Desulfosporosinus hippei DSM 8344		Bacillota	Clostridia	Eubacteriales	Desulfitobacteriaceae	Desulfosporosinus	Desulfosporosinus hippei
A0A1G8M8I6	549003	Natribacillus halophilus		Bacillota	Bacilli	Bacillales	Bacillaceae	Natribacillus	Natribacillus halophilus
A0A1G8NVH1	1174501	Paenibacillus typhae		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus typhae
A0A1G8Q5C5	47500	Aneurinibacillus migulanus		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus migulanus
A0A1G8QAG4	549003	Natribacillus halophilus		Bacillota	Bacilli	Bacillales	Bacillaceae	Natribacillus	Natribacillus halophilus
A0A1G8R1R9	549003	Natribacillus halophilus		Bacillota	Bacilli	Bacillales	Bacillaceae	Natribacillus	Natribacillus halophilus
A0A1G8R5W9	1174501	Paenibacillus typhae		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus typhae
A0A1G8U877	86666	Salimicrobium halophilum		Bacillota	Bacilli	Bacillales	Bacillaceae	Salimicrobium	Salimicrobium halophilum
A0A1G8WFY4	1174501	Paenibacillus typhae		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus typhae
A0A1G8WRR3	407036	Sediminibacillus albus		Bacillota	Bacilli	Bacillales	Bacillaceae	Sediminibacillus	Sediminibacillus albus
A0A1G8WRX2	407036	Sediminibacillus albus		Bacillota	Bacilli	Bacillales	Bacillaceae	Sediminibacillus	Sediminibacillus albus
A0A1G8XZB4	393762	Natronincola ferrireducens		Bacillota	Clostridia	Peptostreptococcales	Natronincolaceae	Natronincola	Natronincola ferrireducens
A0A1G9ANQ3	407036	Sediminibacillus albus		Bacillota	Bacilli	Bacillales	Bacillaceae	Sediminibacillus	Sediminibacillus albus
A0A1G9B854	407036	Sediminibacillus albus		Bacillota	Bacilli	Bacillales	Bacillaceae	Sediminibacillus	Sediminibacillus albus
A0A1G9C507	407036	Sediminibacillus albus		Bacillota	Bacilli	Bacillales	Bacillaceae	Sediminibacillus	Sediminibacillus albus
A0A1G9CX17	1174501	Paenibacillus typhae		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus typhae
A0A1G9CXC9	1174501	Paenibacillus typhae		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus typhae
A0A1G9LUF6	146817	Dendrosporobacter quercicolus		Bacillota	Negativicutes	Selenomonadales	Sporomusaceae	Dendrosporobacter	Dendrosporobacter quercicolus
A0A1G9NMX9	482461	Sediminibacillus halophilus		Bacillota	Bacilli	Bacillales	Bacillaceae	Sediminibacillus	Sediminibacillus halophilus
A0A1G9NNP6	482461	Sediminibacillus halophilus		Bacillota	Bacilli	Bacillales	Bacillaceae	Sediminibacillus	Sediminibacillus halophilus
A0A1G9Q1Y6	682956	Paenibacillus jilunlii		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus jilunlii
A0A1G9QZQ7	482461	Sediminibacillus halophilus		Bacillota	Bacilli	Bacillales	Bacillaceae	Sediminibacillus	Sediminibacillus halophilus
A0A1G9TN73	146817	Dendrosporobacter quercicolus		Bacillota	Negativicutes	Selenomonadales	Sporomusaceae	Dendrosporobacter	Dendrosporobacter quercicolus
A0A1G9TUY5	146817	Dendrosporobacter quercicolus		Bacillota	Negativicutes	Selenomonadales	Sporomusaceae	Dendrosporobacter	Dendrosporobacter quercicolus
A0A1G9URS3	146817	Dendrosporobacter quercicolus		Bacillota	Negativicutes	Selenomonadales	Sporomusaceae	Dendrosporobacter	Dendrosporobacter quercicolus
A0A1G9UUP2	682956	Paenibacillus jilunlii		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus jilunlii
A0A1G9W425	482461	Sediminibacillus halophilus		Bacillota	Bacilli	Bacillales	Bacillaceae	Sediminibacillus	Sediminibacillus halophilus
A0A1G9WAZ4	482461	Sediminibacillus halophilus		Bacillota	Bacilli	Bacillales	Bacillaceae	Sediminibacillus	Sediminibacillus halophilus
A0A1G9WI38	459525	Fictibacillus solisalsi		Bacillota	Bacilli	Bacillales	Fictibacillaceae	Fictibacillus	Fictibacillus solisalsi
A0A1G9WIZ3	459525	Fictibacillus solisalsi		Bacillota	Bacilli	Bacillales	Fictibacillaceae	Fictibacillus	Fictibacillus solisalsi
A0A1G9WSE0	237069	Tenuibacillus multivorans		Bacillota	Bacilli	Bacillales	Bacillaceae	Tenuibacillus	Tenuibacillus multivorans
A0A1G9X0I5	482461	Sediminibacillus halophilus		Bacillota	Bacilli	Bacillales	Bacillaceae	Sediminibacillus	Sediminibacillus halophilus
A0A1G9X7Q5	459525	Fictibacillus solisalsi		Bacillota	Bacilli	Bacillales	Fictibacillaceae	Fictibacillus	Fictibacillus solisalsi
A0A1G9XXE4	258515	Acetanaerobacterium elongatum		Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Acetanaerobacterium	Acetanaerobacterium elongatum
A0A1H0HTL3	240303	Halobacillus aidingensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Halobacillus	Halobacillus aidingensis
A0A1H0RP86	930152	Litchfieldia salsa		Bacillota	Bacilli	Bacillales	Bacillaceae	Litchfieldia	Litchfieldia salsa
A0A1H0TBT4	240303	Halobacillus aidingensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Halobacillus	Halobacillus aidingensis
A0A1H0V0T9	94869	Clostridium gasigenes		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium gasigenes
A0A1H0VJT9	930152	Litchfieldia salsa		Bacillota	Bacilli	Bacillales	Bacillaceae	Litchfieldia	Litchfieldia salsa
A0A1H0WM76	930152	Litchfieldia salsa		Bacillota	Bacilli	Bacillales	Bacillaceae	Litchfieldia	Litchfieldia salsa
A0A1H0WPB6	930152	Litchfieldia salsa		Bacillota	Bacilli	Bacillales	Bacillaceae	Litchfieldia	Litchfieldia salsa
A0A1H1FQC7	553311	Virgibacillus salinus		Bacillota	Bacilli	Bacillales	Bacillaceae	Virgibacillus	Virgibacillus salinus
A0A1H2QRV0	89784	Alicyclobacillus hesperidum		Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	Alicyclobacillus hesperidum
A0A1H2WWZ9	89784	Alicyclobacillus hesperidum		Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	Alicyclobacillus hesperidum
A0A1H3B4F5	1123352	Tepidimicrobium xylanilyticum		Bacillota	Tissierellia	Tissierellales	Tepidimicrobiaceae	Tepidimicrobium	Tepidimicrobium xylanilyticum
A0A1H3CF45	1048340	Marininema mesophilum		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Marininema	Marininema mesophilum
A0A1H3P9L7	415015	Proteiniborus ethanoligenes		Bacillota	Clostridia	Eubacteriales		Proteiniborus	Proteiniborus ethanoligenes
A0A1H3QAR7	415015	Proteiniborus ethanoligenes		Bacillota	Clostridia	Eubacteriales		Proteiniborus	Proteiniborus ethanoligenes
A0A1H3QCE3	1503961	Evansella caseinilytica		Bacillota	Bacilli	Bacillales	Bacillaceae	Evansella	Evansella caseinilytica
A0A1H3QDE5	1503961	Evansella caseinilytica		Bacillota	Bacilli	Bacillales	Bacillaceae	Evansella	Evansella caseinilytica
A0A1H3RYV8	415015	Proteiniborus ethanoligenes		Bacillota	Clostridia	Eubacteriales		Proteiniborus	Proteiniborus ethanoligenes
A0A1H3SXI9	1503961	Evansella caseinilytica		Bacillota	Bacilli	Bacillales	Bacillaceae	Evansella	Evansella caseinilytica
A0A1H3UQ92	1503961	Evansella caseinilytica		Bacillota	Bacilli	Bacillales	Bacillaceae	Evansella	Evansella caseinilytica
A0A1H4C1H3	571932	Thalassobacillus cyri		Bacillota	Bacilli	Bacillales	Bacillaceae	Thalassobacillus	Thalassobacillus cyri
A0A1H4ENC8	571932	Thalassobacillus cyri		Bacillota	Bacilli	Bacillales	Bacillaceae	Thalassobacillus	Thalassobacillus cyri
A0A1H4GDJ6	571932	Thalassobacillus cyri		Bacillota	Bacilli	Bacillales	Bacillaceae	Thalassobacillus	Thalassobacillus cyri
A0A1H5T276	29344	Caloramator fervidus		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Caloramator	Caloramator fervidus
A0A1H5TE18	29344	Caloramator fervidus		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Caloramator	Caloramator fervidus
A0A1H6ZEF9	426757	Bhargavaea ginsengi		Bacillota	Bacilli	Bacillales	Caryophanaceae	Bhargavaea	Bhargavaea ginsengi
A0A1H7VMD7	930146	Mesobacillus persicus		Bacillota	Bacilli	Bacillales	Bacillaceae	Mesobacillus	Mesobacillus persicus
A0A1H7VNP4	930146	Mesobacillus persicus		Bacillota	Bacilli	Bacillales	Bacillaceae	Mesobacillus	Mesobacillus persicus
A0A1H7VNV8	930146	Mesobacillus persicus		Bacillota	Bacilli	Bacillales	Bacillaceae	Mesobacillus	Mesobacillus persicus
A0A1H7W4L3	930146	Mesobacillus persicus		Bacillota	Bacilli	Bacillales	Bacillaceae	Mesobacillus	Mesobacillus persicus
A0A1H7YGI9	474960	Hydrogenoanaerobacterium saccharovorans		Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Hydrogenoanaerobacterium	Hydrogenoanaerobacterium saccharovorans
A0A1H8CUC2	1173111	Lihuaxuella thermophila		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Lihuaxuella	Lihuaxuella thermophila
A0A1H8EB29	1173111	Lihuaxuella thermophila		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Lihuaxuella	Lihuaxuella thermophila
A0A1H8EZ94	930146	Mesobacillus persicus		Bacillota	Bacilli	Bacillales	Bacillaceae	Mesobacillus	Mesobacillus persicus
A0A1H8G0P5	1333845	Paenibacillus sophorae		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sophorae
A0A1H8HKL2	1173111	Lihuaxuella thermophila		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Lihuaxuella	Lihuaxuella thermophila
A0A1H8I7X7	930146	Mesobacillus persicus		Bacillota	Bacilli	Bacillales	Bacillaceae	Mesobacillus	Mesobacillus persicus
A0A1H8KTG4	930146	Mesobacillus persicus		Bacillota	Bacilli	Bacillales	Bacillaceae	Mesobacillus	Mesobacillus persicus
A0A1H8MBN3	1333845	Paenibacillus sophorae		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sophorae
A0A1H8RX04	872970	Amphibacillus marinus		Bacillota	Bacilli	Bacillales	Bacillaceae	Amphibacillus	Amphibacillus marinus
A0A1H8TXT9	112903	Propionispora vibrioides		Bacillota	Negativicutes	Selenomonadales	Sporomusaceae	Propionispora	Propionispora vibrioides
A0A1H8WTT1	112903	Propionispora vibrioides		Bacillota	Negativicutes	Selenomonadales	Sporomusaceae	Propionispora	Propionispora vibrioides
A0A1H8XCC6	112903	Propionispora vibrioides		Bacillota	Negativicutes	Selenomonadales	Sporomusaceae	Propionispora	Propionispora vibrioides
A0A1H9FTK6	571933	Piscibacillus halophilus		Bacillota	Bacilli	Bacillales	Bacillaceae	Piscibacillus	Piscibacillus halophilus
A0A1H9IFV6	621109	Virgibacillus subterraneus		Bacillota	Bacilli	Bacillales	Bacillaceae	Virgibacillus	Virgibacillus subterraneus
A0A1H9JP34	28031	Lysinibacillus fusiformis		Bacillota	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	Lysinibacillus fusiformis
A0A1H9S229	531814	Gracilibacillus ureilyticus		Bacillota	Bacilli	Bacillales	Bacillaceae	Gracilibacillus	Gracilibacillus ureilyticus
A0A1H9SC17	1601833	Salipaludibacillus aurantiacus		Bacillota	Bacilli	Bacillales	Bacillaceae	Salipaludibacillus	Salipaludibacillus aurantiacus
A0A1H9TX80	1601833	Salipaludibacillus aurantiacus		Bacillota	Bacilli	Bacillales	Bacillaceae	Salipaludibacillus	Salipaludibacillus aurantiacus
A0A1H9UUH5	531814	Gracilibacillus ureilyticus		Bacillota	Bacilli	Bacillales	Bacillaceae	Gracilibacillus	Gracilibacillus ureilyticus
A0A1H9UV35	531814	Gracilibacillus ureilyticus		Bacillota	Bacilli	Bacillales	Bacillaceae	Gracilibacillus	Gracilibacillus ureilyticus
A0A1H9UV75	531814	Gracilibacillus ureilyticus		Bacillota	Bacilli	Bacillales	Bacillaceae	Gracilibacillus	Gracilibacillus ureilyticus
A0A1H9UV92	531814	Gracilibacillus ureilyticus		Bacillota	Bacilli	Bacillales	Bacillaceae	Gracilibacillus	Gracilibacillus ureilyticus
A0A1H9VJK8	1601833	Salipaludibacillus aurantiacus		Bacillota	Bacilli	Bacillales	Bacillaceae	Salipaludibacillus	Salipaludibacillus aurantiacus
A0A1H9WW13	1601833	Salipaludibacillus aurantiacus		Bacillota	Bacilli	Bacillales	Bacillaceae	Salipaludibacillus	Salipaludibacillus aurantiacus
A0A1H9YBP9	237682	Salinibacillus kushneri		Bacillota	Bacilli	Bacillales	Bacillaceae	Salinibacillus	Salinibacillus kushneri
A0A1H9YDZ9	930131	Oceanobacillus limi		Bacillota	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	Oceanobacillus limi
A0A1I0A0L1	426128	Natronincola peptidivorans		Bacillota	Clostridia	Peptostreptococcales	Natronincolaceae	Natronincola	Natronincola peptidivorans
A0A1I0ATM3	237682	Salinibacillus kushneri		Bacillota	Bacilli	Bacillales	Bacillaceae	Salinibacillus	Salinibacillus kushneri
A0A1I0AZD5	930131	Oceanobacillus limi		Bacillota	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	Oceanobacillus limi
A0A1I0BC33	237682	Salinibacillus kushneri		Bacillota	Bacilli	Bacillales	Bacillaceae	Salinibacillus	Salinibacillus kushneri
A0A1I0CLH9	1120990	Anaerobranca gottschalkii DSM 13577		Bacillota	Clostridia	Eubacteriales	Proteinivoracaceae	Anaerobranca	Anaerobranca gottschalkii
A0A1I0DT27	930131	Oceanobacillus limi		Bacillota	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	Oceanobacillus limi
A0A1I0I832	237682	Salinibacillus kushneri		Bacillota	Bacilli	Bacillales	Bacillaceae	Salinibacillus	Salinibacillus kushneri
A0A1I0K7I6	460384	Enterocloster lavalensis		Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster lavalensis
A0A1I0QM11	99656	[Clostridium] fimetarium		Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	[Clostridium] fimetarium
A0A1I0RVI0	99656	[Clostridium] fimetarium		Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	[Clostridium] fimetarium
A0A1I0SV56	150248	Anoxybacillus pushchinoensis		Bacillota	Bacilli	Bacillales	Anoxybacillaceae	Anoxybacillus	Anoxybacillus pushchinoensis
A0A1I0T7U0	186116	Parageobacillus thermantarcticus		Bacillota	Bacilli	Bacillales	Anoxybacillaceae	Parageobacillus	Parageobacillus thermantarcticus
A0A1I0W9E8	237679	Lentibacillus halodurans		Bacillota	Bacilli	Bacillales	Bacillaceae	Lentibacillus	Lentibacillus halodurans
A0A1I0W9Y5	237679	Lentibacillus halodurans		Bacillota	Bacilli	Bacillales	Bacillaceae	Lentibacillus	Lentibacillus halodurans
A0A1I0Y209	237679	Lentibacillus halodurans		Bacillota	Bacilli	Bacillales	Bacillaceae	Lentibacillus	Lentibacillus halodurans
A0A1I0YLX8	84698	Clostridium frigidicarnis		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium frigidicarnis
A0A1I1R668	119641	Clostridium uliginosum		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium uliginosum
A0A1I1TZT1	1045775	Paenibacillus catalpae		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus catalpae
A0A1I1YBV3	640948	Lentibacillus persicus		Bacillota	Bacilli	Bacillales	Bacillaceae	Lentibacillus	Lentibacillus persicus
A0A1I2AK01	930128	Alteribacillus iranensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Alteribacillus	Alteribacillus iranensis
A0A1I2AT39	1045775	Paenibacillus catalpae		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus catalpae
A0A1I2EBX9	930128	Alteribacillus iranensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Alteribacillus	Alteribacillus iranensis
A0A1I2EVU4	930128	Alteribacillus iranensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Alteribacillus	Alteribacillus iranensis
A0A1I2EY85	930128	Alteribacillus iranensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Alteribacillus	Alteribacillus iranensis
A0A1I2FH51	930128	Alteribacillus iranensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Alteribacillus	Alteribacillus iranensis
A0A1I2G6C4	684063	Paenibacillus algorifonticola		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus algorifonticola
A0A1I2IF91	684063	Paenibacillus algorifonticola		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus algorifonticola
A0A1I2LUD3	1529	Clostridium cadaveris		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium cadaveris
A0A1I2MGT7	396056	Halobacillus alkaliphilus		Bacillota	Bacilli	Bacillales	Bacillaceae	Halobacillus	Halobacillus alkaliphilus
A0A1I2MII9	396056	Halobacillus alkaliphilus		Bacillota	Bacilli	Bacillales	Bacillaceae	Halobacillus	Halobacillus alkaliphilus
A0A1I2NRB3	201973	Planifilum fulgidum		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Planifilum	Planifilum fulgidum
A0A1I2R284	396056	Halobacillus alkaliphilus		Bacillota	Bacilli	Bacillales	Bacillaceae	Halobacillus	Halobacillus alkaliphilus
A0A1I2RX28	201973	Planifilum fulgidum		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Planifilum	Planifilum fulgidum
A0A1I2TMT6	1121424	Desulfotruncus arcticus DSM 17038		Bacillota	Clostridia	Eubacteriales	Desulfallaceae	Desulfotruncus	Desulfotruncus arcticus
A0A1I2U1X7	1121424	Desulfotruncus arcticus DSM 17038		Bacillota	Clostridia	Eubacteriales	Desulfallaceae	Desulfotruncus	Desulfotruncus arcticus
A0A1I2VUE0	269670	Sporolactobacillus nakayamae		Bacillota	Bacilli	Bacillales	Sporolactobacillaceae	Sporolactobacillus	Sporolactobacillus nakayamae
A0A1I2X695	1121424	Desulfotruncus arcticus DSM 17038		Bacillota	Clostridia	Eubacteriales	Desulfallaceae	Desulfotruncus	Desulfotruncus arcticus
A0A1I2Z1L9	1404	Priestia megaterium		Bacillota	Bacilli	Bacillales	Bacillaceae	Priestia	Priestia megaterium
A0A1I2Z4H2	1121424	Desulfotruncus arcticus DSM 17038		Bacillota	Clostridia	Eubacteriales	Desulfallaceae	Desulfotruncus	Desulfotruncus arcticus
A0A1I2Z9J2	1121424	Desulfotruncus arcticus DSM 17038		Bacillota	Clostridia	Eubacteriales	Desulfallaceae	Desulfotruncus	Desulfotruncus arcticus
A0A1I3LS56	46223	Thermoflavimicrobium dichotomicum		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Thermoflavimicrobium	Thermoflavimicrobium dichotomicum
A0A1I3MJI6	46223	Thermoflavimicrobium dichotomicum		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Thermoflavimicrobium	Thermoflavimicrobium dichotomicum
A0A1I3PS34	54910	Brevibacillus centrosporus		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus centrosporus
A0A1I3PT65	54910	Brevibacillus centrosporus		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus centrosporus
A0A1I3Q6Z0	240302	Halobacillus dabanensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Halobacillus	Halobacillus dabanensis
A0A1I3R5C1	240302	Halobacillus dabanensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Halobacillus	Halobacillus dabanensis
A0A1I3RBG6	240302	Halobacillus dabanensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Halobacillus	Halobacillus dabanensis
A0A1I3TQP8	46223	Thermoflavimicrobium dichotomicum		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Thermoflavimicrobium	Thermoflavimicrobium dichotomicum
A0A1I3UAF2	240302	Halobacillus dabanensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Halobacillus	Halobacillus dabanensis
A0A1I3UC41	240302	Halobacillus dabanensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Halobacillus	Halobacillus dabanensis
A0A1I3ZXW7	54910	Brevibacillus centrosporus		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus centrosporus
A0A1I4D1Q2	54910	Brevibacillus centrosporus		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus centrosporus
